,dataset,method,strategy,model,og_or_samp,balanced_accuracy,f1,precision,recall
310,satimage,SMOTEN,not majority,Logistic,og,-0.1576946082201145,-0.031229721868320626,-0.1576946082201145,0.22539691375175563
312,satimage,SMOTEN,all,SVM,og,-0.14932068700333256,-0.013997669347273312,-0.14932068700333256,0.09165299138587069
314,satimage,SMOTEN,all,KNN,og,-0.025759573247396972,0.01418008895526579,-0.025759573247396972,0.042250773125688146
316,satimage,SMOTEN,all,Tree,og,-0.05342494598454606,-0.02409803542652067,-0.05342494598454606,0.0006372081609200553
318,satimage,SMOTEN,all,Logistic,og,-0.163796523479938,-0.03655069905554886,-0.163796523479938,0.22284703879030288
320,satimage,SVMSMOTE,minority,SVM,og,-0.19693057946069992,-0.018641901537406746,-0.19693057946069992,0.09123781615578153
322,satimage,SVMSMOTE,minority,KNN,og,-0.0646568035058166,0.06776821201673289,-0.0646568035058166,0.11091814189570914
324,satimage,SVMSMOTE,minority,Tree,og,-0.021874732974450972,0.004503069641145219,-0.021874732974450972,0.023903784513906956
326,satimage,SVMSMOTE,minority,Logistic,og,-0.2160984362983851,-0.038643954793663005,-0.2160984362983851,0.20627557500538873
328,satimage,SVMSMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
330,satimage,SVMSMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
332,satimage,SVMSMOTE,not minority,Tree,og,-0.005683829543096319,0.00037140059710139006,-0.005683829543096319,0.0069959885360587615
334,satimage,SVMSMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
336,satimage,SVMSMOTE,not majority,SVM,og,-0.198938611589214,-0.023380195441574547,-0.198938611589214,0.08732107381539322
338,satimage,SVMSMOTE,not majority,KNN,og,-0.07247988916150927,0.054183622798918085,-0.07247988916150927,0.0995844852211153
340,satimage,SVMSMOTE,not majority,Tree,og,-0.03538164817324008,-0.012191592449607769,-0.03538164817324008,0.005494021284633499
342,satimage,SVMSMOTE,not majority,Logistic,og,-0.217688382710172,-0.035734769527221655,-0.217688382710172,0.20598251054850725
344,satimage,SVMSMOTE,all,SVM,og,-0.19182047338289332,-0.02138593820539958,-0.19182047338289332,0.08869013581940877
346,satimage,SVMSMOTE,all,KNN,og,-0.06543956982946986,0.06105487133810228,-0.06543956982946986,0.10520585712342634
348,satimage,SVMSMOTE,all,Tree,og,-0.031000903309285732,-0.004045911171228211,-0.031000903309285732,0.01962522891794405
350,satimage,SVMSMOTE,all,Logistic,og,-0.21278731949072882,-0.03932117294967741,-0.21278731949072882,0.20727601077199387
352,satimage,ADASYN,minority,SVM,og,-0.1824562688443745,0.021737688576584646,-0.1824562688443745,0.12163530186331128
354,satimage,ADASYN,minority,KNN,og,-0.0664802065404475,0.08664165625578035,-0.0664802065404475,0.12567683949917352
356,satimage,ADASYN,minority,Tree,og,-0.008080956043016951,0.019560388089739034,-0.008080956043016951,0.04616505380849134
358,satimage,ADASYN,minority,Logistic,og,-0.2190204587346346,-0.049825523246904035,-0.2190204587346346,0.20426792590933152
360,satimage,ADASYN,not minority,SVM,og,0.0,0.0,0.0,0.0
362,satimage,ADASYN,not minority,KNN,og,0.0,0.0,0.0,0.0
364,satimage,ADASYN,not minority,Tree,og,-0.023075585014831423,-0.01721158041226134,-0.023075585014831423,-0.010230055644955272
366,satimage,ADASYN,not minority,Logistic,og,0.0,0.0,0.0,0.0
368,satimage,ADASYN,not majority,SVM,og,-0.17979669437628942,0.022987170477279606,-0.17979669437628942,0.12263665321509953
